Origin_Zone,Destination_Zone,Start_date,End_Date,Time_of_Day,Purpose,Subscriber_Class,Count,SZCount
6,19,20150401,20150430,H16:H19,NHB,Resident,44.01,22.005
33,40,20150401,20150430,H16:H19,HBW,Resident,23.2,7.733333333
24,6,20150401,20150430,H07:H10,NHB,Resident,13.48,4.493333333
4,27,20150401,20150430,H16:H19,NHB,Resident,6.37,6.37
15,26,20150401,20150430,H07:H10,NHB,Resident,63.06,10.51
16,31,20150401,20150430,H07:H10,NHB,Resident,90.38,20.85692308
14,19,20150401,20150430,H16:H19,HBO,Resident,52.02,17.34
8,35,20150401,20150430,H16:H19,HBO,Resident,3.23,3.23
2,4,20150401,20150430,H07:H10,HBO,Resident,47.23,5.90375
13,16,20150401,20150430,H07:H10,NHB,Visitor,49.13,8.188333333
15,38,20150401,20150430,H16:H19,NHB,Resident,84.55,35.22916667
16,19,20150401,20150430,H07:H10,NHB,Resident,103.82,24.42823529
25,9,20150401,20150430,H16:H19,HBO,Resident,51.23,15.369
36,2,20150401,20150430,H07:H10,NHB,Resident,50.42,5.602222222
11,38,20150401,20150430,H07:H10,NHB,Resident,47.99,7.998333333
35,6,20150401,20150430,H16:H19,HBO,Resident,54.79,7.827142857
15,37,20150401,20150430,H16:H19,HBO,Resident,102.53,19.224375
34,10,20150401,20150430,H16:H19,NHB,Visitor,19.02,12.68
34,14,20150401,20150430,H16:H19,HBW,Resident,114.37,10.39727273
20,16,20150401,20150430,H07:H10,HBO,Resident,19.1,3.183333333
23,15,20150401,20150430,H07:H10,NHB,Resident,29.84,14.92
38,16,20150401,20150430,H16:H19,NHB,Resident,106.6,16.83157895
9,29,20150401,20150430,H16:H19,NHB,Visitor,4.25,4.25
9,33,20150401,20150430,H07:H10,NHB,Resident,44.8,7.466666667
6,27,20150401,20150430,H16:H19,NHB,Resident,35.29,8.8225
12,27,20150401,20150430,H16:H19,NHB,Visitor,82.14,7.467272727
33,21,20150401,20150430,H16:H19,NHB,Resident,18.97,6.323333333
19,27,20150401,20150430,H16:H19,NHB,Visitor,48.15,6.878571429
30,20,20150401,20150430,H16:H19,HBO,Resident,46.03,23.015
23,25,20150401,20150430,H07:H10,HBW,Resident,41.26,4.584444444
16,20,20150401,20150430,H16:H19,NHB,Visitor,23.02,11.51
34,38,20150401,20150430,H07:H10,NHB,Resident,19.22,9.61
31,27,20150401,20150430,H07:H10,HBO,Resident,56.15,8.021428571
24,9,20150401,20150430,H07:H10,NHB,Resident,31.17,6.234
6,24,20150401,20150430,H07:H10,NHB,Resident,63.21,7.023333333
14,32,20150401,20150430,H07:H10,NHB,Resident,88.97,7.414166667
25,39,20150401,20150430,H16:H19,NHB,Resident,29.64,23.712
12,40,20150401,20150430,H16:H19,NHB,Visitor,9.84,4.92
7,26,20150401,20150430,H07:H10,NHB,Resident,32.57,8.1425
33,24,20150401,20150430,H16:H19,NHB,Resident,10.92,10.92
39,11,20150401,20150430,H07:H10,NHB,Visitor,40.43,8.086
36,32,20150401,20150430,H16:H19,NHB,Resident,55.44,18.48
